Index,ticker,industry
298,MRO,Oil & Gas Exploration & Production
299,MPC,Oil & Gas Refining & Marketing
300,MKTX,Financial Exchanges & Data
301,MAR,"Hotels, Resorts & Cruise Lines"
302,MMC,Insurance Brokers
303,MLM,Construction Materials
304,MAS,Building Products
305,MA,Data Processing & Outsourced Services
306,MKC,Packaged Foods & Meats
307,MXIM,Semiconductors
308,MCD,Restaurants
309,MCK,Health Care Distributors
310,MDT,Health Care Equipment
311,MRK,Pharmaceuticals
312,MET,Life & Health Insurance
313,MTD,Life Sciences Tools & Services
314,MGM,Casinos & Gaming
315,MCHP,Semiconductors
316,MU,Semiconductors
317,MSFT,Systems Software
318,MAA,Residential REITs
319,MHK,Home Furnishings
320,TAP,Brewers
321,MDLZ,Packaged Foods & Meats
322,MNST,Soft Drinks
323,MCO,Financial Exchanges & Data
324,MS,Investment Banking & Brokerage
325,MOS,Fertilizers & Agricultural Chemicals
326,MSI,Communications Equipment
327,MSCI,Financial Exchanges & Data
328,MYL,Pharmaceuticals
329,NDAQ,Financial Exchanges & Data
330,NOV,Oil & Gas Equipment & Services
331,NTAP,"Technology Hardware, Storage & Peripherals"
332,NFLX,Movies & Entertainment
333,NWL,Housewares & Specialties
334,NEM,Gold
335,NWSA,Publishing
336,NWS,Publishing
337,NEE,Multi-Utilities
338,NLSN,Research & Consulting Services
339,NKE,"Apparel, Accessories & Luxury Goods"
340,NI,Multi-Utilities
341,NSC,Railroads
342,NTRS,Asset Management & Custody Banks
343,NOC,Aerospace & Defense
344,NLOK,Application Software
345,NCLH,"Hotels, Resorts & Cruise Lines"
346,NRG,Independent Power Producers & Energy Traders
347,NUE,Steel
348,NVDA,Semiconductors
349,NVR,Homebuilding
350,ORLY,Specialty Stores
351,OXY,Oil & Gas Exploration & Production
352,ODFL,Trucking
353,OMC,Advertising
354,OKE,Oil & Gas Storage & Transportation
355,ORCL,Application Software
356,OTIS,Industrial Machinery
357,PCAR,Construction Machinery & Heavy Trucks
358,PKG,Paper Packaging
359,PH,Industrial Machinery
360,PAYX,Data Processing & Outsourced Services
361,PAYC,Application Software
362,PYPL,Data Processing & Outsourced Services
363,PNR,Industrial Machinery
364,PBCT,Thrifts & Mortgage Finance
365,PEP,Soft Drinks
366,PKI,Health Care Equipment
367,PRGO,Pharmaceuticals
368,PFE,Pharmaceuticals
369,PM,Tobacco
370,PSX,Oil & Gas Refining & Marketing
371,PNW,Multi-Utilities
372,PXD,Oil & Gas Exploration & Production
373,PNC,Regional Banks
374,POOL,Distributors
375,PPG,Specialty Chemicals
376,PPL,Electric Utilities
377,PFG,Life & Health Insurance
378,PG,Personal Products
379,PGR,Property & Casualty Insurance
380,PLD,Industrial REITs
381,PRU,Life & Health Insurance
382,PEG,Electric Utilities
383,PSA,Specialized REITs
384,PHM,Homebuilding
385,PVH,"Apparel, Accessories & Luxury Goods"
386,QRVO,Semiconductors
387,PWR,Construction & Engineering
388,QCOM,Semiconductors
389,DGX,Health Care Services
390,RL,"Apparel, Accessories & Luxury Goods"
391,RJF,Investment Banking & Brokerage
392,RTX,Aerospace & Defense
393,O,Retail REITs
394,REG,Retail REITs
395,REGN,Biotechnology
396,RF,Regional Banks
397,RSG,Environmental & Facilities Services
398,RMD,Health Care Equipment
399,RHI,Human Resource & Employment Services
400,ROK,Electrical Components & Equipment
401,ROL,Environmental & Facilities Services
402,ROP,Industrial Conglomerates
403,ROST,Apparel Retail
404,RCL,"Hotels, Resorts & Cruise Lines"
405,SPGI,Financial Exchanges & Data
406,CRM,Application Software
407,SBAC,Specialized REITs
408,SLB,Oil & Gas Equipment & Services
409,STX,"Technology Hardware, Storage & Peripherals"
410,SEE,Paper Packaging
411,SRE,Multi-Utilities
412,NOW,Systems Software
413,SHW,Specialty Chemicals
414,SPG,Retail REITs
415,SWKS,Semiconductors
416,SLG,Office REITs
417,SNA,Industrial Machinery
418,SO,Electric Utilities
419,LUV,Airlines
420,SWK,Industrial Machinery
421,SBUX,Restaurants
422,STT,Asset Management & Custody Banks
423,STE,Health Care Equipment
424,SYK,Health Care Equipment
425,SIVB,Regional Banks
426,SYF,Consumer Finance
427,SNPS,Application Software
428,SYY,Food Distributors
429,TMUS,Wireless Telecommunication Services
430,TROW,Asset Management & Custody Banks
431,TTWO,Interactive Home Entertainment
432,TPR,"Apparel, Accessories & Luxury Goods"
433,TGT,General Merchandise Stores
434,TEL,Electronic Manufacturing Services
435,FTI,Oil & Gas Equipment & Services
436,TDY,Aerospace & Defense
437,TFX,Health Care Equipment
438,TER,Semiconductor Equipment
439,TXN,Semiconductors
440,TXT,Aerospace & Defense
441,TMO,Life Sciences Tools & Services
442,TIF,"Apparel, Accessories & Luxury Goods"
443,TJX,Apparel Retail
444,TSCO,Specialty Stores
445,TT,Building Products
446,TDG,Aerospace & Defense
447,TRV,Property & Casualty Insurance
448,TFC,Regional Banks
449,TWTR,Interactive Media & Services
450,TYL,Application Software
451,TSN,Packaged Foods & Meats
452,UDR,Residential REITs
453,ULTA,Specialty Stores
454,USB,Diversified Banks
455,UAA,"Apparel, Accessories & Luxury Goods"
456,UA,"Apparel, Accessories & Luxury Goods"
457,UNP,Railroads
458,UAL,Airlines
459,UNH,Managed Health Care
460,UPS,Air Freight & Logistics
461,URI,Trading Companies & Distributors
462,UHS,Health Care Facilities
463,UNM,Life & Health Insurance
464,VFC,"Apparel, Accessories & Luxury Goods"
465,VLO,Oil & Gas Refining & Marketing
466,VAR,Health Care Equipment
467,VTR,Health Care REITs
468,VRSN,Internet Services & Infrastructure
469,VRSK,Research & Consulting Services
470,VZ,Integrated Telecommunication Services
471,VRTX,Biotechnology
472,VIAC,Movies & Entertainment
473,V,Data Processing & Outsourced Services
474,VNT,Electronic Equipment & Instruments
475,VNO,Office REITs
476,VMC,Construction Materials
477,WRB,Property & Casualty Insurance
478,WAB,Construction Machinery & Heavy Trucks
479,WMT,Hypermarkets & Super Centers
480,WBA,Drug Retail
481,DIS,Movies & Entertainment
482,WM,Environmental & Facilities Services
483,WAT,Health Care Distributors
484,WEC,Electric Utilities
485,WFC,Diversified Banks
486,WELL,Health Care REITs
487,WST,Health Care Supplies
488,WDC,"Technology Hardware, Storage & Peripherals"
489,WU,Data Processing & Outsourced Services
490,WRK,Paper Packaging
491,WY,Specialized REITs
492,WHR,Household Appliances
493,WMB,Oil & Gas Storage & Transportation
494,WLTW,Insurance Brokers
495,WYNN,Casinos & Gaming
496,XEL,Multi-Utilities
497,XRX,"Technology Hardware, Storage & Peripherals"
498,XLNX,Semiconductors
499,XYL,Industrial Machinery
500,YUM,Restaurants
501,ZBRA,Electronic Equipment & Instruments
502,ZBH,Health Care Equipment
503,ZION,Regional Banks
504,ZTS,Pharmaceuticals
